0,32,1,0
0,33,1,0
0,34,1,0
0,35,1,0
0,38,1,0
0,40,1,0
0,50,1,0
0,59,1,0
0,66,1,0
0,67,1,0
0,100,1,0
1,32,1,0
1,33,1,0
1,34,1,0
1,35,1,0
1,50,1,0
1,100,1,0
1,500,1,0
2,32,1,0
6,35,1,0
8,32,1,0
8,35,1,0
8,36,1,0
8,42,1,0
8,48,1,0
8,60,1,0
8,81,1,0
9,148,1,0
10,40,1,0
17,32,1,0
35,33,1,0
130,32,1,0
8,35,1,1
0,32,2,0
0,35,2,0
0,38,2,0
0,100,2,0
1,33,2,0
1,50,2,0
8,35,2,0
8,48,2,0
35,33,2,0
0,32,2,1
0,35,2,1
0,38,2,1
0,50,2,1
0,100,2,1
1,32,2,1
1,35,2,1
1,50,2,1
8,35,2,1
8,48,2,1
0,32,3,0
0,33,3,0
0,34,3,0
0,35,3,0
0,37,3,0
0,44,3,0
0,96,3,0
0,100,3,0
0,101,3,0
1,32,3,0
1,40,3,0
1,101,3,0
8,32,3,0
8,35,3,0
8,36,3,0
0,40,3,1
8,32,3,1
8,35,3,1
