# Single SKU Max Power Table (unit is 1 dBm)                                                   
# 2.4G Channel                                                   
Band: 2.4G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch1 17 17 17                                                
Ch2 17 17 17                                                
Ch3 17 17 17                                                
Ch4 17 17 17                                                
Ch5 17 17 17                                                
Ch6 17 17 17                                                
Ch7 17 17 17                                                
Ch8 17 17 17                                                
Ch9 17 17 17                                                
Ch10 17 17 17                                                
Ch11 17 17 17                                                
Ch12 17 17 17                                                
Ch13 17 17 17                                                
Ch14 17 17 17                                                
                                                   
# 5G Channel                                                   
Band: 5G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch184 10 10 10                                                
Ch188 10 10 10                                                
Ch192 10 10 10                                                
Ch196 10 10 10                                                
Ch8 10 10 10                                                
Ch12 10 10 10                                                
Ch16 10 10 10                                                
Ch36 10 10 10                                                
Ch40 10 10 10                                                
Ch44 10 10 10                                                
Ch48 10 10 10                                                
Ch52 10 10 10                                                
Ch56 10 10 10                                                
Ch60 10 10 10                                                
Ch64 10 10 10                                                
Ch68 10 10 10                                                
Ch72 10 10 10                                                
Ch76 10 10 10                                                
Ch80 10 10 10                                                
Ch84 10 10 10                                                
Ch88 10 10 10                                                
Ch92 10 10 10                                                
Ch96 10 10 10                                                
Ch100 17 17 17                                                
Ch104 17 17 17                                                
Ch108 17 17 17                                                
Ch112 17 17 17                                                
Ch116 17 17 17                                                
Ch120 17 17 17                                                
Ch124 17 17 17                                                
Ch128 17 17 17                                                
Ch132 17 17 17                                                
Ch136 17 17 17                                                
Ch140 17 17 17                                                
Ch144 17 17 17                                                
Ch149 17 17 17                                                
Ch153 17 17 17                                                
Ch157 17 17 17                                                
Ch161 17 17 17                                                
Ch165 17 17 17                                                
Ch169 17 17 17                                                
Ch173 17 17 17                                                
Ch177 17 17 17                                                
Ch181 17 17 17                                                
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
