# Single SKU Max Power Table
# |CCK 1~11 | |    OFDM 6 ~ 54      | |             HT20 MCS 0 ~ 15                 | |             HT40 MCS 0 ~ 15                 |
ch1 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 
ch2 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch3 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch4 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch5 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch6 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch7 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch8 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch9 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch10 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch11 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16
ch12 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 
ch13 20 20 20 20 20 20 20 18 18 18 17 17 19 19 19 19 17 17 16 16 19 19 19 19 17 17 16 16 
ch14 
# End of Single SKU Table
