# Single SKU SRRC Power Table
# |CCK 1~11  | |    OFDM 6 ~ 54      | |             HT20 MCS 0 ~ 15                 | |             HT40 MCS 0 ~ 15                  |
 ch1 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 
 ch2 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16  
 ch3 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15 
 ch4 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15 
 ch5 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15
 ch6 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15 
 ch7 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15 
 ch8 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15 
 ch9 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15
ch10 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15 
ch11 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16   16 16 15 15 15 15 15 15 16 16 15 15 15 15 15 15 
ch12 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 
ch13 14 14 14 14 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 

# End of Single SKU Table
