# Single SKU Max Power Table
#  |CCK 1~11  | |    OFDM 6 ~ 54      | |             HT20 MCS 0 ~ 15                 | |             HT40 MCS 0 ~ 15                  |
 ch1 13 13 13 13 14 14 14 14 13 13 13 13 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 
 ch2 13 13 13 13 14 14 14 14 13 13 13 13 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  
 ch3 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 10 10 10 10 11 11 11 11 10 10 10 10 
 ch4 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 10 10 10 10 11 11 11 11 10 10 10 10  
 ch5 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  
 ch6 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  
 ch7 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  
 ch8 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  
 ch9 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  
ch10 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  
ch11 13 13 13 13 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  
ch12 13 13 12 12 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
ch13 13 13 12 12 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
ch14 
# End of Single SKU Table
